Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
DIGMA,TS1246PG,Digma,Optima 10 E600 3G TS1246PG,2023MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
MEIZE,D108,MEIZE,D108,16000MB,Tablet,Allwinner A537,ARM Mali G57 (600 MHz),800x1280,213,arm64-v8a,35,3.2,0,0.00%,0.00%,0.00%
Redmi,vermeer,Redmi,Redmi K70,11734-15930MB,Phone,QTI SM8550,Qualcomm Adreno 740 (818 MHz),1440x3200,560,arm64-v8a;armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
ACONATIC,R3_GTV,Aconatic,R3_GTV,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
asus,ASUS_X014D_1,Asus,ZenFone Go (ZB452KG),955MB,Phone,Qualcomm MSM8212,Qualcomm Adreno 302 (400 MHz),480x854,240,armeabi;armeabi-v7a,22,3.0,0,0.00%,0.00%,0.00%
Hisense,HLTE109E_03,Hisense,Hisense U70 Pro,2004MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x960,213,armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
HiHi,HIHI-40KH-TAB,Hihi,HIHI-40KH-TAB-01,2987MB,Tablet,Qualcomm MSM8953,Qualcomm Adreno 506 (650 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
vivo,PD2502,vivo,X300 Pro 卫星通信版,16106MB,Phone,Mediatek MT6993,12x ARM Mali G1-Ultra (1600 MHz),1260x2800,560,arm64-v8a,36,3.2,0,0.00%,0.00%,0.00%
ENTEL,m393vsb_entel,Entel,DECO ENTEL VSB3930,3060MB,TV,Broadcom BCM72180,,1080x1920,320,armeabi;armeabi-v7a,31,3.1,0,0.00%,0.00%,0.00%
HUAWEI,HWVNS-H,Huawei,P9 lite,1867-2921MB,Phone,HiSilicon KIRIN650,ARM Mali T830 (900 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
RCA,RCS13101T,RCA,RCS13101T,1073MB,Tablet,Rockchip RK3168,Imagination Tech PowerVR SGX540 (600 MHz),480x800,120,armeabi;armeabi-v7a,17,2.0,0,0.00%,0.00%,0.00%
